show,season,name,winner,runner_up,elim_week,fir,occupation,hometown,age,height,roses,num_in_elim_week
Bachelor,1,Amanda M,1,0,N/A,0,Event Planner,,,,0,0
Bachelor,2,Amber ,0,0,1,0,,,,,0,0
Bachelor,2,Camille ,0,0,1,0,,,,,0,1
Bachelor,2,Cari ,0,0,1,0,,,,,0,2
Bachelor,2,Christy ,0,0,1,0,,,,,0,3
Bachelor,2,Erin ,0,0,1,0,,,,,0,4
Bachelor,2,Fatima ,0,0,1,0,,,,,0,5
Bachelor,2,Liangy ,0,0,1,0,,,,,0,6
Bachelor,2,Lori ,0,0,1,0,,,,,0,7
Bachelor,2,Merilee ,0,0,1,0,,,,,0,8
Bachelor,2,Anindita ,0,0,2,0,,,,,0,0
Bachelor,2,Dana ,0,0,2,0,,,,,0,1
Bachelor,2,Erin ,0,0,2,0,,,,,0,2
Bachelor,2,Frances ,0,0,2,0,,,,,0,3
Bachelor,2,Suzanne ,0,0,2,0,,,,,0,4
Bachelor,2,Christi ,0,0,3,0,,,,,0,0
Bachelor,2,Heather ,0,0,3,0,,,,,0,1
Bachelor,2,Kyla ,0,0,3,0,,,,,0,2
Bachelor,2,Shannon ,0,0,3,0,,,,,0,3
Bachelor,2,Hayley ,0,0,4,0,,,,,0,0
Bachelor,2,Heather C,0,0,4,0,,,,,0,1
Bachelor,2,Angela ,0,0,5,0,,,,,0,0
Bachelor,2,Gwen G,0,0,6,0,,,,,0,0
Bachelor,2,Brooke S,0,1,7,0,,,,,0,0
