show,season,name,winner,runner_up,elim_week,fir,occupation,hometown,age,height,roses,num_in_elim_week
Bachelor,1,Amber ,0,0,1,0,,,,,0,0
Bachelor,1,Daniela ,0,0,1,0,,,,,0,1
Bachelor,1,Denise ,0,0,1,0,,,,,0,2
Bachelor,1,Jackie ,0,0,1,0,,,,,0,3
Bachelor,1,Jill ,0,0,1,0,,,,,0,4
Bachelor,1,Kristina ,0,0,1,0,,,,,0,5
Bachelor,1,Lisa ,0,0,1,0,,,,,0,6
Bachelor,1,Paula ,0,0,1,0,,,,,0,7
Bachelor,1,Rachel ,0,0,1,0,,,,,0,8
Bachelor,1,Wendi ,0,0,1,0,,,,,0,9
Bachelor,1,Alexa ,0,0,2,0,,,,,0,0
Bachelor,1,Amy ,0,0,2,0,,,,,0,1
Bachelor,1,Angela ,0,0,2,0,,,,,0,2
Bachelor,1,Angelique ,0,0,2,0,,,,,0,3
Bachelor,1,Katie ,0,0,2,0,,,,,0,4
Bachelor,1,Melissa ,0,0,2,0,,,,,0,5
Bachelor,1,Tina ,0,0,2,0,,,,,0,6
Bachelor,1,Cathy G,0,0,3,0,,,,,0,0
Bachelor,1,Christina ,0,0,3,0,,,,,0,1
Bachelor,1,Lanease A,0,0,3,0,,,,,0,2
Bachelor,1,Rhonda ,0,0,3,0,,,,,0,3
Bachelor,1,Kim ,0,0,4,0,,,,,0,0
Bachelor,1,Shannon O,0,0,5,0,,,,,0,0
Bachelor,1,Trista R,0,1,6,0,,,,,0,0
